NEST_NUMBER,NESTING_TERRITORY,FINDER,VALID_NEST,FOUND_DATE,FOUND_STAGE,FD_YEAR,FD_MONTH,FD_DAY,ATTEMPT,LAT,LONG,LOCATION_DESCRIPTION,NEST_IN,ON,SPECIES,SCI_NAME,NEST_HT_M,TREE_HT_M,LADDER,NATURAL_LANDSCAPE,CANOPY_WIDTH_M,DIST_FROM_TRUNK_M,DIR_FROM_TRUNK,DIR_FR_TRUNK_DEGREES,1_M_HABITAT,100_M_HABITAT,DAD,MOM,HATCH_DATE,HD_YEAR,HD_MONTH,HD_DAY,HD_PRECISION,FLEDGE_DATE,HOW_KNOWN,VISITS,EGGS,EGGS_DATE,CHICKS,CHICKS_DATE,UNHATCHED_EGGS,BAND,BAND_DATE,BAND_AGE,c1,c2,c3,c4,c5,c6,POSTBAND_CHECK,PBC_DATE,ANY_FLEDGED,FLEDGED,FLEDGE_CHECK_DATE,FLEDGE_CHECKS,IF40CHECK,IF40DATE,if1,if2,if3,if4,if5,if6,DF1,DF2,DF3,W1,W2,B1,B2,NEST_FATE,FAIL_DATE,FAIL_PRECISION,FAIL_STAGE,Comments,check,Nest_ID,NESTING_TERRITORY,UC_MONITORED,UC_ACTIVE,LAYING_MONITORED,LAYING_ACTIVE,INC_MONITORED,INC_ACTIVE,NESTLING_MONITORED,NESTLING_ACTIVE,BAND_MONITORED,BAND_ACTIVE,FLEDGELINGS_MONITORED,FLEDGLINGS_ACTIVE,IF_MONITORED,IF_ACTIVE
LOSH-2018-11,WPDEDI,CEH,TRUE,16-Apr-18,,2018,4,16,,33.80051,-79.002445,A small planted live oak by the new building parking lot. Lat and Long inexact since Google Earth doesn't have the current imagery.,Tree,Living,LIVOAK,Quercus_virginiana,2.5,3.5,,Landscape,2,0,S,,Lawn,Lawn/pk lot/buildings,rrrm,yame,27-Apr-18,2018,4,27,1,,,6,5,16-Apr-18,5,6-May-18,,5,9-May-18,13,mw--,mw--,mw--,mw--,mw--,,0,17-May-18,0,0,17-May-18,,,,,,,,,,,,,,,,,FA,11-May-18,,c/f,,1,LOSH-2018-11,WPDEDI,0,1,0,1,1,1,1,1,1,1,1,0,1,0
LOSH-2018-12,BEDBAT,MAR,TRUE,5-May-18,,2018,5,5,,33.700602,-78.924343,"Parking lot. 2 medians out from the building in a live oak. One ""island"" farther out than a green electrical box.",Tree,Living,LIVOAK,Quercus_virginiana,3.5,5,,Landscape,4,1.5,E,,Small grassy patch / mulch,Parking lot,mpyo,REMW,30-May-18,2018,5,30,1,,,6,5,27-May-18,5,3-Jun-18,,4,8-Jun-18,9,b--m,b--m,b--m,b--m,,,0,15-Jun-18,0,0,15-Jun-18,,,,,,,,,,,,,,,,,FA,11-Jun-18,,C,,1,LOSH-2018-12,BEDBAT,1,1,1,1,1,1,1,1,1,1,1,0,1,0
LOSH-2018-13,COURTH,KMM,TRUE,20-May-18,nestlings,2018,5,20,2,33.830689,-79.047979,"As you turn into the courthouse driveway from Marina Drive, it's the tree on your right. Same tree as first 2018 nest for this pair.",Tree,Living,LIVOAK,Quercus_virginiana,3.5,6,,Landscape,6,1.8,SE,,"Mulch, grass","Parking lot / grassy field, mowed grass",GMOB,omoo,17-May-18,2018,5,17,1,,,2,,,5,20-May-18,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,FA,24-May-18,,C,,1,LOSH-2018-13,COURTH,0,1,0,1,0,1,1,1,1,0,1,0,1,0
LOSH-2018-14,HGTCCC,MAR,TRUE,16-May-18,,2018,5,16,2,33.792056,-79.002083,"1st tree to the rt after back entrance to HGTC behind Pond, by road, parellel to HGTC (this confusing description has me confused between two trees)",Tree,Living,LIVOAK,Quercus_virginiana,3.5,5,,Landscape,4,0.7,S,,"Grass,mulch","Parking lot, mowed grass,pond",mgoo,wmbb,1-Jun-18,2018,6,1,1,,,4,5,20-May-18,5,3-Jun-18,,1,12-Jun-18,10,m--p,,,,,,,,2,,,,,,,,,,,,,,,,,,,BA,,,,,1,LOSH-2018-14,HGTCCC,0,1,0,1,1,1,1,1,1,1,,,,
LOSH-2018-15,MCLEOD,Scott_Hartley,outside our area,10-May-18,laying,2018,5,10,,33.758084,-78.854397,Small live oak by traffic circle,Tree,Living,LIVOAK,Quercus_virginiana,2.5,3.5,,Landscape,,,,,"Mulch, grass","Lawn, “fallow field” roads, pond, parking lot",UB,UB,1-Jun-18,2018,6,1,1,,,5,5,20-May-18,3,3-Jun-18,,3,15-Jun-18,14,m--b,m--b,m--b,,,,,,2,,,,,,,,,,,,,,,,,,,BA,,,,,1,LOSH-2018-15,MCLEOD,1,1,1,1,1,1,1,1,1,1,0,0,0,0
LOSH-2018-16,WALGRE,Scott_Hartley,TRUE,12-May-18,incubating,2018,5,12,,33.631416,-78.962465,Small live oak at corner where Walgreens driveway meets Marypart Dr,Tree,Living,LIVOAK,Quercus_virginiana,3,4,,Landscape,,,,,,"Grass,roads",UB,UB,26-May-18,2018,5,26,7,,,3,5,19-May-18,0,27-May-18,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,FA,24-May-18,,E,,1,LOSH-2018-16,WALGRE,0,1,0,1,1,1,1,0,1,0,1,0,1,0
LOSH-2018-17,WPDEDI,CEH,TRUE,16-May-18,,2018,5,16,2,33.800249,-79.002232,Another small planted live oak a bit farther down the parking lot toward the dishes.,Tree,Living,LIVOAK,Quercus_virginiana,3,3.5,,Landscape,2,,,,Grass,Lawn/pk lot/buildings,rrrm,yame,16-Jun-18,2018,6,16,7,,,3,,20-May-18,0,27-May-18,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,FA,23-May-18,,L/E,,1,LOSH-2018-17,WPDEDI,,,,,,,,,,,,,,
LOSH-2018-18,CYPRES,CEH,TRUE,28-May-18,incubating,2018,5,28,2,33.83157,-79.045828,Middle big live oak of the row of 5 between the tracks and Cypress Inn,Tree,Living,LIVOAK,Quercus_virginiana,7.5,12,,Landscape,16,7,NW,,gravel (rr tracks),"grass,road,parking lot,water,woods",UB,UB,14-Jun-18,2018,6,14,1,1-Jul-18,extrapolated from hatching date; fledgies seen later.,4,5,14-Jun-18,3+,14-Jun-18,,,,,,,,,,,,,1,1+,19-Jul-18,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2018-18,CYPRES,0,1,0,1,1,1,1,1,1,1,,,,
LOSH-2018-19,RRTRAC,CEH,TRUE,30-May-18,incubating,2018,5,30,2,33.792071,-78.994516,"In the tall pine midway up, out near the end of a branch that stretches toward the road (and toward Lowe's )",Tree,Living,LOBPIN,Pinus_taeda,8,20,,Natural,12,3,N,,grass,"grass, RR tracks, road,ditch",MYAA,PPPM,6-Jun-18,2018,6,6,2,27-Jun-18,estimated,4,4,3-Jun-18,3+,15-Jun-18,,,,,,,,,,,,,1,1+,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2018-19,RRTRAC,0,1,0,1,1,1,1,1,1,1,,,,
LOSH-2018-20,FATZZZ,CEH,outside our area,1-Jun-18,laying,2018,6,1,,33.857621,-79.082623,In a tiny planted birch in the middle of a parking lot (the birch nearest the pkg lot entrance),Tree,Living,RIVBIR,Betula_nigra,3,4,,Landscape,3.5,0.3,E,,parking lot,"Parking lot, road, grass",UB,UB,18-Jun-18,2018,6,18,1,,,5,4,11-Jun-18,3,23-Jun-19,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,FA,28-Jul-18,,C,,1,LOSH-2018-20,FATZZZ,0,1,1,1,1,1,1,1,1,0,1,0,1,0
LOSH-2018-21,ROSESS,CEH,outside our area,16-Jun-18,incubating,2018,6,16,,33.854163,-79.07566,In a tree in a parking lot island in the big lot in front of Roses. 2nd tree from the Myrle Beach side of the lot,Tree,Living,WILOAK,Quercus_phellos,4,9,,Landscape,6,2,W,,Grass,"Parking lot,grass,yard with trees",UB,UB,26-Jun-18,2018,6,26,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,LOSH-2018-21,ROSESS,0,1,0,1,1,1,1,1,1,0,1,0,1,0
LOSH-2018-22,RIVERF,MAR,TRUE,19-Jul-18,nestlings,2018,7,19,,33.831775,-79.046556,"Looking at the big white restaurant, if you’re standing on Elm street, there are 2 trees directly in front. The tree to the left. Nest at top left",Tree,Living,LIVOAK,Quercus_virginiana,,6,,Landscape,5,,,,"Sidewalk(concrete),asphalt,grass ,mulch under tree","Concrete,asphalt, grassy areas,buildings",aawm,gmyr,7-Jul-18,2018,7,7,,,,1,,,,,,,,,,,,,,,,,1,2,3-Aug-18,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2018-22,RIVERF,0,1,0,1,0,1,0,1,1,1,1,1,0,0
LOSH-2019-01,RIVERF,CEH,TRUE,25-Feb-19,under construction,2019,2,25,1,33.8313,-79.0466,"Facing W at intersection of Marina Dr. and Elm St., the first Live Oak on the tennis court side of the road on Marina Dr.",Tree,Living,LIVOAK,Quercus_virginiana,3,6,,Landscape,5,0.3,S,,"Lawn, road","parking lot, lawn, park / tennis court, trees",aawm,gmyr,26-Mar-19,2019,3,26,2,,,6,5,23-Mar-19,-,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,26-Mar-19,,E/C,,1,LOSH-2019-01,RIVERF,1,1,1,1,1,1,1,0,1,0,1,0,1,0
LOSH-2019-02,DISCGO,CEH,TRUE,23-Mar-19,incubating,2019,3,23,1,33.7975,-79.0038,"In 1st hedged tree (holly?) from left, behind Coastal carolina university brick sign near 501 and University blvd, nest is in top right and center of tree",Tree,Living,AMEHOL,Ilex_opacum_cultivar,3.5,4,,Landscape,4,0.5,E,,mulch,"grassy area, highway, trees shrub",ayym,wwmr,3-Apr-19,2019,4,3,1,,,14,5,25-Mar-19,5,12-Apr-19,0,4,14-Apr-19,11,m--g,m--g,m--g,m--g,,,4,18-May-19,1,4,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-02,DISCGO,0,1,0,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-03,SCHOLA,CEH,TRUE,2-Mar-19,incubating,2019,3,15,1,33.7963,-79.0057,"3rd live oak from roundabout, towards 501, is next to magnolia, nest is in top of tree off center towards university blvd",Tree,Living,LIVOAK,Quercus_virginiana,5.5,7,,Natural,7,1,E,,Shrubs,"grassy area roadway, parking lot, tree",iiom,mrrr,6-Apr-19,2019,4,6,5,,,17,5,25-Mar-19,?,12-Apr-19,-,0,-,-,,,,,,,-,-,1,4,-,-,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-03,SCHOLA,0,1,0,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-04,COXFER,CEH,TRUE,14-Mar-19,under construction,2019,3,14,1,33.8071,-79.0085,"In the group of trees infront of the electrical equipment, the Sweet Gum to the right of the left most Pine Tree",Tree,Living,SWEGUM,Liquidambar_styratiaflua,4,18,,Natural,6,0,SE,,"Shrubs, trees","grassy area, run off water ditch",UB,embw,17-Apr-19,2019,4,17,1,,,15,5,3-Apr-19,4,21-Apr-19,1,3,28-Apr-19,13,m--r,m--r,m--r,,,,5,3-May-19,0,0,-,-,,,,,,,,,,,,,,,,FA,1-May-19,,,,1,LOSH-2019-04,COXFER,1,1,1,1,1,1,1,1,1,1,1,0,1,0
LOSH-2019-05,LOWESP,CEH,TRUE,23-Mar-19,incubating,2019,3,23,1,33.7924,-78.9978,"Nest is in 5th willow oak from right, from the drive way that exits to 501, it is in direct center of tree in a cluster of branches",Tree,Living,WILOAK,Quercus_phellos,6,10,,Landscape,7.5,0,W,,"grass, shrubs","grass, highway, parkinglot, trees, bushes",emor,pomy,1-Apr-19,2019,4,1,1,,,17,5,25-Mar-19,5,12-Apr-19,0,5,14-Apr-19,13,m--o,m--o,m--o,m--o,m--o,,3,17-Apr-19,1,3,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-05,LOWESP,0,1,0,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-06,SEACOA,KRM,TRUE,22-Mar-19,incubating,2019,3,22,1,33.8075,-79.0132,"Facing S in back of church paking lot, in the Wax Myrtle next to the leftmost pine tree",Shrub,Living,WAXMYR,Myrica_cerifera,2.2,3,,Natural,2,1,E,,"shrubs, trees,","Parking lot, lawn, pond, church, highway",omuu,myry,4-Apr-19,2019,4,4,1,,,19,5,3-Apr-19,5,10-Apr-19,0,5,15-Apr-19,11,c--m,c--m,c--m,c--m,c--m,,3,18-Apri-19,1,4,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-06,SEACOA,0,1,0,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-07,HGTCCC,TLE,TRUE,28-Mar-19,under construction,2019,3,28,1,33.7936,-79.0015,"In live oak in grassy area nest to 1100 building across from parking llot, nest is in top of tree, off center to the left if standing on building side/",Tree,Living,LIVOAK,Quercus_virginiana,6,9,,Landscape,6.5,1,NE,,grass,"grass. trees, road, buildings, parking lot",wmbb,eymo,12-Apr-19,2019,4,12,1,,,12,5,12-Apr-19,5,21-Apr-19,0,0,-,-,,,,,,,15,13-May-19,1,3,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-07,HGTCCC,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-08,WPDEDI,CEH,TRUE,16-Mar-19,,2019,3,16,1,33.800678,-79.000599,"Nest is in 1 of two bushy shrubs in center of green field, under diagonal wires. Is in the most right tree towards the sidewalk and road. Nest is on the right side if facing the buldings",Shrub,Living,WAXPRI,Ligustrum_japonicum,2.5,3,,Landscape,3,0.5,N,,"wires, mulch","grass, trees, bushes, building, road, parking  lot",UB,yame,17-Apr-19,2019,4,17,1,,,6,5,3-Apr-19,5,21-Apr-19,0,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,25-Apr-19,,C,,1,LOSH-2019-08,WPDEDI,1,1,1,1,1,1,1,1,1,0,1,0,1,0
LOSH-2019-09,CMWSSS,TLE,TRUE,26-Mar-19,,2019,3,26,1,33.799952,-78.998438,"Nest is in small  green shrub with red berries, directly across street from CSC 2nd entrance, 1st shrub from left next to metal roofing driveway in front of fences, nest is in top left if standing on the fence side. ",Shrub,Living,YAUHOL,Ilex_vomitorium_cultivar,2.5,3,,Landscape,1,0.2,NW,,"Grass, fences","fence, road, gravel, parking lot, buildings",moyy,oaam,24-Apr-19,2019,4,24,7,,,8,,-,0,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,18-Apr-19,,L/E,,1,LOSH-2019-09,CMWSSS,1,0,,,,,,,,,,,,
LOSH-2019-10,IMSTOP,TLE,TRUE,27-Mar-19,under construction,2019,3,27,1,33.7998,-78.9945,"Nest is small-leafed bush in front of uniform place parking lot, is 3rd from the right, standing in the parking lot (not including the cedar-like bush). nest is in top left, slight off center. ",Shrub,Living,WAXMYR,Myrica_cerifera,1.75,2.25,,Landscape,1.5,0.1,SW,,"shrubs, mulch","parking lot, grass, road, building, fences ",yybm,bbcm,29-Apr-19,2019,4,29,1,18-May-19,branchers,18,5,12-Apr-19,5,1-May-19,0,5,7-May-19,9,m--e,m--e,m--e,m--e,m--e,,6,13-May-19,1,3,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-10,IMSTOP,1,1,1,1,1,1,1,1,1,1,1,1,,1
LOSH-2019-11,ROOMST,CRW,TRUE,28-Mar-19,incubating,2019,3,28,1,33.415943,-78.553058,Nest is in the first tree on the farthest left set of trees behind the first row of tree when coming off of seaboard and towards the mall,Tree,Living,LIVOAK,Quercus_virginiana,4.5,7,,Landscape,3,1,W,,Parking Lot,"parking lot, grass, road",oomi,iiem,6-Apr-19,2019,4,6,3,,,6,5,3-Apr-19,0,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,10-Apr-19,,,,1,LOSH-2019-11,ROOMST,0,1,0,1,1,1,1,0,1,0,1,0,1,0
LOSH-2019-12,OAKFOR,CRW,TRUE,24-Mar-19,incubating,2019,3,24,1,33.421264,-78.543716,"Nest is in the walmart parking lot on the far side (farhest down oak forest lane), located exactly 20 parking spaces from the farthest walmart entrance. Nest is in the lower portion of the tree, far away from the trunk.",Tree,Living,LIVOAK,Quercus_virginiana,2.5,6,,Landscape,4,2,SE,,Parking lot,"Parking lot, grass ",UB,UB,21-Apr-19,2019,4,21,1,9-May-19,branchers,17,5,17-Apr-19,4,1-May-19,,4,2-May-19,11,axxm,a--m,a--m,a--m,,,6,8-May-19,1,3,7-Jun-19,,,,,,,,,,,,,,,a--m,,FL,,,,,1,LOSH-2019-12,OAKFOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-13,CEMETE,KRM,TRUE,24-Mar-19,under construction,2019,3,24,1,33.7916,-79.0197,"Coming into the cemetery from the middle entrance, it is in the Bradford Pear (last tree) in the median. The nest is in a clump of mistletoe.",Tree,Living,BRAPEA,Pyrus_calleryana,11,14,,Landscape,8,2,,,Lawn,"Lawn, road, Highway, cemetery, pond, trees",meow?,ymur,3-Apr-19,2019,4,3,1,,,11,,-,-,-,-,0,-,-,,,,,,,1,15-May-19,1,3,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-13,CEMETE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-14,COSTCO,CEH,TRUE,3-Apr-19,nestlings,2019,4,3,1,33.702579,-78.919028,"There's a road through the parking lot from the corner of Belk toward the Walmart intersection. Where that driveway hits the perimeter road, two big live oaks on an island on your right.  Leftmost of the two oaks.",Tree,Living,LIVOAK,Quercus_virginiana,2,7,,Landscape,7.5,2.5,E,,Parking lot,"Parking lot, lawn, road",ppmb,umrw,1-Apr-19,2019,4,1,1,,,10,5,3-Apr-19,5,14-Apr-19,0,5,14-Apr-19,13,g--m,g--m,g--m,goom,agim,,1,1-May-19,1,3,,,,,,,,,,,,,,goom,agim,,,FL,,,,,1,LOSH-2019-14,COSTCO,0,1,0,1,0,1,1,1,1,1,1,1,1,1
LOSH-2019-15,DILLAR,CRW,TRUE,28-Mar-19,,2019,3,28,1,33.415945,-78.553058,"From the entrance going from seaboard st to dillards, past the initial row of trees, located in the largets of two trees, it would be the left tree if your going towards dillards. Nest is fairly high up on the front side of the tree if facing towards dillards",Tree,Living,LIVOAK,Quercus_virginiana,4,6,,Landscape,4,2.5,SE,,Parking lot,"Parking lot, road, lawn, grass",mpyo,wxmr,9-Apr-19,2019,4,9,3,,,13,5,7-Apr-19,?,17-Apr-19,-,2,9-Jun-19,IF,--mr,--mr,,,,,1,8-May-19,1,4,9-Jun-19,,,,--mr,--mr,,,,,,,,,,,,FL,,,,,1,LOSH-2019-15,DILLAR,,,,,,,,,,,,,1,1
LOSH-2019-16,RIVERF,KRM,TRUE,29-Mar-19,laying,2019,3,29,2,33.8316,-79.0463,"Facing slightly NE of East, at intersection of Marina Dr / Elm St, the Live Oak adjacent to the stopsign (the first on that side of street) ",Tree,Living,LIVOAK,Quercus_virginiana,4.5,6.5,,Landscape,5.5,1.25,SW,,"Sidewalk, road","Tennis court, resturant, drainage field, lawn, parking lot, RR tracks",aawm,gmyr,24-Apr-19,2019,4,24,1,,,18,6,17-Apr-19,6,1-May-19,0,6,8-May-19,13,em--,em--,em--,em--,em--,em--,3,11-May-19,1,2,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-16,RIVERF,0,1,1,1,1,1,1,1,1,1,1,1,1,1
